name,gdp,lifeExpectancy,internetPct,income
Algeria,5753,76,77,upper-middle
Angola,2665.9,65,45,lower-middle
Argentina,13969.8,77,90,upper-middle
Australia,64604,83,97,high
Brazil,10310.5,76,84,upper-middle
Canada,54340.3,82,94,high
Chad,961.6,55,13,low
China,13303.1,78,92,upper-middle
Congo Rep.,2482.2,66,38,low
Denmark,71026.5,82,100,high
India,2694.7,72,56,lower-middle
Indonesia,4925.4,71,73,upper-middle
Iran,5190.2,78,80,upper-middle
Kazakhstan,14154.6,74,93,upper-middle
Libya,6569.2,69,88,upper-middle
Mali,1094.6,60,35,low
Mexico,14185.8,75,81,upper-middle
Mongolia,6750.6,72,83,upper-middle
Niger,753.3,61,23,low
Peru,8452.4,78,82,upper-middle
Russia,14889,73,94,high
Saudi Arabia,35121.7,79,100,high
South Africa,6267.2,66,76,upper-middle
Sudan,984.6,66,26,low
United Kingdom,53246.4,81,96,high
United States,84534,78,93,high